	A1-3	A10-2	A11-2	A12-1	A13-6	A14	A15-1	A16-5	A17-8	A2-2	A21-9	A23-4	A25-4	A26-3	A29-6	A3-1	A30-10	A31	A36	A37-7	A39-2	A4-5	A40-2	A41-2	A42-3	A43-3	A44-5	A45-1	A47-3	A48	A49-8	A5-3	A6-1	A7-1	A8	A9-1	FL-1	FL-11	FL-13	FL-14	FL-15	FL-16	FL-17	FL-18	FL-19	FL-2	FL-20	FL-21	FL-22	FL-23	FL-24	FL-25	FL-26	FL-27	FL-3	FL-4	FL-5	FL-6	FL-8	FL-9	H102-3	H105-1	H106_2	H107-1	H108_1	H110-1	H114-2	H115_2	H124-1	H129-2	H136_2	H162_2	H173-4	H174-4	H176_4	H181-2	H182-4	H183-4	H184-4	H186-4	H187-4	H188-4	H189-4	H190-4	H192-4	H193-2	H194_2	H200-4	H203-4	H204-4	H205_4	H214-2	H215-4	H216-2	H217-4	H218-2	H220-4	H221-4	H222-4	H223-4	H226-4	H227-4	H228-4	H229-5	H230-6	H32_1	H32-2	H36	H37_1	H49	H50-1	H51-1	H55-1	H97-6	L1-1	L11-4	L12-3	L13-1	L14-1	L15-1	L16-3	L17-2	L18-2	L19-2	L19-4	L20-3	L22-4	L23-1	L23-3
A1-3	0.0	0.6954637843340075	0.6606701304884103	0.7220660599520619	0.8021519231647946	0.5063757569077364	0.8234166980003008	0.578002098015162	0.4183891759549551	0.36817320198319164	0.6951579981129081	0.5243964902018243	0.6078662617228375	0.36900352950211435	0.5337934848556367	0.5494362788184632	0.48964107527380435	0.3453045636553512	0.7380565733356997	0.6103736207215908	0.462947960709364	0.3010005922333868	0.4139357141510543	0.4920645059878522	0.3051805091097872	0.3577075085131349	0.33466466214494905	0.3790485889190203	0.5054731183040393	0.6368587618311915	0.5058137564837775	0.4540920429465761	0.47125925662281287	0.29328327193900733	0.5227205002348259	0.7602617087142995	0.5761383009297949	0.3388707762200146	0.6158946462597262	0.46699714529199216	0.5621827162528116	0.4455199885247389	0.596590719564931	0.5612799827107494	0.7063039604747253	0.6289198175934105	0.7188220370247266	0.5187462486334963	0.7651368644752166	0.8924245444030152	0.8335279156347586	0.8183448227307463	0.4661015555470047	0.7906754006560308	0.3312141728825956	0.3071515511816277	0.6814574086696098	0.3796849635728181	0.6879186884079911	0.5161273214896708	0.3823484314951211	0.45165144406382435	0.3333304292413821	0.3712320655087363	0.6499387114212198	0.5809368340624184	0.6056670673315215	0.5446434808063807	0.5800021441956713	0.38901707635170996	0.29858757492506555	0.4532218463600002	0.573514640016224	0.3906160181764743	0.5144165748169778	0.44111643836773584	0.4390982264179831	0.3601455442881952	0.3713688480092452	0.43385504096519645	0.46049487319586807	0.27691109102012684	0.4854385905637647	0.3152617006353891	0.3135726612031062	0.3655565491124268	0.3170373957985344	0.4644795141731858	0.6774051250424595	0.33244062973409866	0.3241418320492112	0.3631836175517161	0.4585607539626752	0.35940381980764513	0.5428953756568937	0.40235758607278393	0.4365688292276384	0.6887879122132792	0.7464312928768774	0.6016002983468899	0.5454827000260322	0.7843195855271224	0.775311070717237	0.7590626944687597	0.49791267371075343	0.30989017882578235	0.39949605742032906	0.500835290869461	0.27440130173756255	0.6922005201666402	0.6831388555110098	0.47094512307284203	0.4516124011283001	0.49403119565337	0.2995254138012038	0.40602825508304385	0.5577380762405253	0.4613377200920413	0.3806901054058741	0.3841902379260772	0.3908672604278688	0.28714587142959663	0.5942777402722302	0.45198257216165966	0.27975768759623904	0.3316352984441546	0.3201534445916778	0.39371125900515785	0.7156878392678229
A10-2	0.6954637843340075	0.0	0.3468936930511828	0.5118646426938921	0.7358148788960512	0.5063566866652859	0.6463622823374227	0.7380118729790566	0.6711646059769723	0.680606592769426	0.46539157369594225	0.7117330698857912	0.7851184753772801	0.7158340853925862	0.7270873749146144	0.46800087243972044	0.7319583841768313	0.675946977289557	0.5523818774322315	0.7580365155872222	0.70532382921563	0.6662052376220552	0.6539052714026148	0.7208744553603335	0.6441991282549445	0.6968628546628346	0.665644619273437	0.698965706015298	0.41826735358369244	0.5714623523811901	0.6679796424208024	0.7409672801400656	0.5260936633128147	0.6841342291223284	0.5782873883835994	0.5962342786381553	0.7154704581953288	0.6984111893734366	0.6327151885233715	0.7370221258179257	0.5009481870016648	0.6782133325755736	0.7442155582887465	0.7180822948286505	0.6493144525816964	0.4840392273683151	0.5465465351081901	0.5153299396417486	0.8419839715046133	0.7186818161205456	0.7576939538100173	0.7527801119279686	0.7227542203183913	0.6448367628639866	0.6635866428455652	0.6451909862924858	0.6107713136727659	0.642239876531511	0.4393854755001836	0.44763110037687276	0.7127453512081818	0.6909429633043013	0.6769421682208479	0.6881844934209872	0.772398726564488	0.7284916357203236	0.5205644565395827	0.5553725195759671	0.6569470184703118	0.7039864334366134	0.6787299317623007	0.6646030578245199	0.42653183466548417	0.6998249744376999	0.7388385738212999	0.7269458543469823	0.7159970507374862	0.6829628912314908	0.6762989946769724	0.707139697664135	0.6997953671580702	0.6698013712197135	0.6991806100843149	0.6542788732183656	0.6597509690599815	0.6598079429042425	0.6594494016226776	0.7058416297037386	0.8430121275707394	0.6874370618637807	0.684095760513328	0.7032100880583357	0.6954939441908582	0.6707888823050191	0.758789452173612	0.7140393419644285	0.7468679065639346	0.5703749590712381	0.7281480739142069	0.6410944566227315	0.5148347330663193	0.817624649198184	0.7095439011057386	0.6518526473187543	0.48325069385085107	0.6992321216525503	0.7104537449244306	0.7240533599759877	0.6827784195606943	0.8152638464217857	0.6472050199689127	0.6826048640617569	0.73252763775107	0.7258440654858996	0.6684847344381252	0.7194383635436884	0.4987537730232223	0.7000903939188012	0.6790889409458901	0.7033472801964067	0.6754444173510308	0.6646782247191254	0.7890187137313537	0.7637759560967805	0.6617347779267418	0.6948894617508385	0.7067682390675475	0.7030633122728468	0.7609411802063064
A11-2	0.6606701304884103	0.3468936930511828	0.0	0.53370415392788	0.748270780235437	0.48190155389592926	0.6509141394956172	0.7671322753344462	0.7085582722065067	0.662288291076674	0.467185218006796	0.6993487763923286	0.7428092076267572	0.6409925114560675	0.752442415575731	0.4946773065544289	0.7364068484641536	0.6252169764714884	0.6121521416515278	0.7799490725804153	0.6867081155146055	0.6880932599503258	0.6873036102160616	0.6956617018337348	0.6800594374920423	0.671448729058468	0.6477644600869387	0.6731268379320448	0.4308973977412942	0.5956405158012451	0.6988329381496876	0.7088655632449639	0.4668503544817843	0.6241701330120631	0.5485602035601281	0.578110687808533	0.6971430173116202	0.6560143311419218	0.5633272567413697	0.6928315739874125	0.4633755414411372	0.706925043261466	0.7180373618985723	0.6820375915285103	0.6795379607427872	0.5179449874110592	0.5454405585174087	0.4745540448094622	0.8350090817770717	0.7534133420725019	0.7560915481983289	0.7506864585032144	0.6891361588755496	0.6641877994168952	0.653429565017344	0.6706117603512424	0.6340391548229275	0.6860628995039312	0.44536051149728695	0.4419047535334515	0.6568356428260794	0.6524635772459615	0.66652782175479	0.6741019212628253	0.739111838349007	0.7037986018140794	0.5466626503560517	0.5381784456184482	0.6392350277266224	0.6573902619300263	0.6443838242570004	0.705988599249057	0.4181242894590086	0.6845650649762571	0.6948994744752066	0.6476145235792184	0.6694041693289309	0.6559451045283008	0.6581513931155926	0.6522028814890445	0.6787710482342995	0.6627633858870192	0.6495688656180134	0.6334777565574515	0.6420405780031452	0.6600378901828411	0.6306923357430313	0.6650374271361599	0.8362668755016955	0.6298542951162899	0.6497961674621698	0.6688765951838106	0.7235600533135318	0.6422120729891181	0.704115911194801	0.6802858101510895	0.6739246648502994	0.587782881177089	0.710135590200412	0.599761150705063	0.5008205915940281	0.7908483016279942	0.6739015581565845	0.5667684835400865	0.4275284227255368	0.6646976391090128	0.661832419831479	0.7451811244053624	0.6603682778889818	0.8299971442131047	0.6358624274998657	0.6824179464036099	0.6933752091598554	0.6870396111351659	0.6560134255081967	0.673302071301726	0.4765081961192125	0.6668892445497496	0.6685680490943722	0.6553858253629514	0.7154336225151656	0.6468248416607789	0.8150141807435948	0.7453529065394853	0.6843552128132998	0.6397306294167466	0.6726200021557109	0.6238524216968164	0.7653426940585688
A12-1	0.7220660599520619	0.5118646426938921	0.53370415392788	0.0	0.7581357688804407	0.5839407938949304	0.7160824032433997	0.7771211970575923	0.7213354600941946	0.7281459201186807	0.5400960259926469	0.7147743066325336	0.758490191808192	0.7383571313351849	0.7710221648313408	0.5449506918675879	0.7573470681119235	0.715308680431684	0.6809257760039357	0.79417086121225	0.7462614583358981	0.6991615013975697	0.7090393875398002	0.7413322971487541	0.6951305058485101	0.7042977758776178	0.7173814891786514	0.6888353137665028	0.5300280790750667	0.5690634621859516	0.7303845101351008	0.7588598807452865	0.5532472719872857	0.7159115487379231	0.6284981660348814	0.7119521554790562	0.7507772101825692	0.7323655259945822	0.6987351550481763	0.7625024939301221	0.5009055201739215	0.6801638804804098	0.784637606513746	0.7452288446744156	0.6511710056558512	0.540912078060298	0.5901884682247844	0.5756619774356913	0.8482768777059791	0.7267607688913093	0.7627507278466436	0.6880387284020315	0.7512426167989704	0.7315339753500233	0.697139393188772	0.6830601368979929	0.6488198249541625	0.7008386635583228	0.5564036667178134	0.5412759004113296	0.6870992909529511	0.6908096584800417	0.7254956838373162	0.7241068327571243	0.7555614964154627	0.7697753868183752	0.5453027591617148	0.5863904764690913	0.5913850432350742	0.7180985381266216	0.7117291367618603	0.7226570515247831	0.5414795264925558	0.7453327686021146	0.7639465586794993	0.74736611080986	0.7459608874952824	0.7235726734899127	0.725031450794062	0.7390863979428354	0.703949579968468	0.723649462445066	0.7521155580822692	0.7210405879587178	0.7131821012361881	0.7032637389412695	0.7245529201869221	0.695207965641976	0.8537498204249374	0.7239901068897825	0.73389937647338	0.7282272773342563	0.743034506769843	0.7323151765628166	0.7333893936140502	0.7369101941895774	0.7649498167164063	0.675404395563826	0.721208583482162	0.6128567185597437	0.5851119625523996	0.8013617426418594	0.697098831587287	0.6872025003211918	0.5621755328159037	0.7250581485717008	0.7416520895936267	0.7548339121689239	0.6769759758716737	0.8441081187276879	0.672380250233758	0.7203282381616805	0.7081005667773191	0.7264695244768659	0.7225377248388213	0.7512638464587589	0.5659076116881352	0.7130672726752864	0.7270472054642939	0.7361597695337943	0.7289019646624499	0.7166913370070599	0.8237694396331441	0.801309667628604	0.6957120813589478	0.7216108977429136	0.7310712147228524	0.7359410328730325	0.7730851068387287
A13-6	0.8021519231647946	0.7358148788960512	0.748270780235437	0.7581357688804407	0.0	0.720192110299938	0.7978812961540187	0.8540482485490561	0.7660576988129348	0.8089081756765183	0.7011738135418514	0.7989420595367842	0.7815215818520469	0.8096696433329527	0.8254676572265977	0.7084726221136411	0.7860528046385743	0.7859300280378945	0.587672240043977	0.7858632224712259	0.7923020255204757	0.8034963888526727	0.7721588790100993	0.8193284914737023	0.8075783261369713	0.8215503575428587	0.7818737854308372	0.7991653592362663	0.7165409969510349	0.6399962506507996	0.7977971814812107	0.8286642153549061	0.7026319095311316	0.8080801865407441	0.7304823201858612	0.6278525827731163	0.6421338922682648	0.8100420768827195	0.7261579712868415	0.8115917723780443	0.7378662059086543	0.8050701298111411	0.8189365847405423	0.6664036448949192	0.5734621429043539	0.7369766012583703	0.5205107652814694	0.6717273221953376	0.820500253839876	0.8416097051030017	0.7803499424622172	0.7931763717561693	0.8263751878496342	0.6553962609572	0.8091638141390586	0.8078863186095315	0.6093665973738291	0.8069720850584202	0.7128130823402392	0.7300935237617456	0.8255866619933784	0.8163546539063541	0.7983954074529993	0.8229086759267765	0.6497581376541507	0.6669562347976332	0.7021519054407342	0.6742081481974702	0.7770448045540527	0.8190618143341802	0.8097556096515393	0.7821871984101983	0.7185856773138597	0.7913570811468476	0.8274815271755752	0.814495662810484	0.7544057300572635	0.7934438366216785	0.790794836165118	0.7682405567803028	0.8278786330789187	0.8063650067155097	0.8214096272086016	0.8100324808216137	0.8078873468274849	0.7984770552204951	0.8176402303169862	0.79442498837475	0.8593414997082364	0.7930045800037158	0.8257250084223852	0.7840292390900577	0.7879977782202292	0.812631837658901	0.7861508692767498	0.7972361127370237	0.8015870288290744	0.7203739873778747	0.7218624386386291	0.7077432797760497	0.7397439411112109	0.8087892205621479	0.7716070738028084	0.7411256958256327	0.726681617678707	0.7829591015848436	0.824099788198432	0.7743095806670774	0.815748032196672	0.8595026646655347	0.7023061351179426	0.7887022066086753	0.8016220250944739	0.8037945756940602	0.8107750804885347	0.7857420889678479	0.7190340741927095	0.8312384808968755	0.8083598762920822	0.8044063416785631	0.8169875779949697	0.8001931267411383	0.8823108946851961	0.865233483213809	0.8038138231195231	0.8147828969743827	0.7837616865788718	0.8130069173381363	0.8078020291997989
A14	0.5063757569077364	0.5063566866652859	0.48190155389592926	0.5839407938949304	0.720192110299938	0.0	0.6501900501148233	0.6925243761380554	0.5886900970142136	0.5484989432325377	0.5378986524709729	0.5741512998700677	0.6240342186313228	0.4847635846055003	0.6635626033841215	0.31453441899790185	0.6544756124746499	0.4924294966746843	0.6170893743048351	0.7059470469901336	0.5870808878569473	0.5349603364796507	0.5767104262311732	0.5581363870985856	0.5631363569063926	0.5443385146982792	0.5221280492290681	0.511527435428039	0.2711601902622874	0.48695333265748175	0.5104356934599941	0.5685852365257468	0.31462472695883065	0.4722510366724616	0.4295212903279576	0.6561646507703095	0.590071847046928	0.46102121515053496	0.5020065971205289	0.4857018224417491	0.35776535010246	0.5525663473978291	0.5803260583489029	0.5983993540041694	0.5893209056818232	0.445036489856734	0.5779827383706402	0.3596509521033847	0.7951224093086248	0.7922120583571571	0.7363375771702981	0.7058019259953855	0.5789586849343477	0.6998358000775138	0.5449411773262542	0.5223875582959834	0.514040163607004	0.5714727797836407	0.5298936789629478	0.2397766927824401	0.5610335723787273	0.4898444878819685	0.5281530731878462	0.4727210805532525	0.6642447946651053	0.5460257933024607	0.4589028789005284	0.40808118433087026	0.4477720681925873	0.5051430157561885	0.47984750746468136	0.5167902202970006	0.34202370508660734	0.4819385062059653	0.49247646608441253	0.4908008703753169	0.4909203740057242	0.5156893095840347	0.4760680317261513	0.5075566357962964	0.49678220076516816	0.4697660130929514	0.4847016391842375	0.4379675417750415	0.46929894315594545	0.4690822760605929	0.39306389102014594	0.5364808109623699	0.7760419824852645	0.43877296032711993	0.41222610617282335	0.5105021234457602	0.6064426748479906	0.4214176492092048	0.5900720353923383	0.5085260041063225	0.5127211628235151	0.5499052372703727	0.6061296365542834	0.3690550243845792	0.3576324687707599	0.7646773660198923	0.6559213032133736	0.6379461497309296	0.28227481573994057	0.5142977219593533	0.43881956831509134	0.6394729376166514	0.4875047600435359	0.7715620764866234	0.5137652121055913	0.5419344654846437	0.5410771194919984	0.5940125689360105	0.49547961483895525	0.5539981620603237	0.3509649082075583	0.4974171180705058	0.5571071247751813	0.4856086542769617	0.5843197674727557	0.4502891016148241	0.7231297674402094	0.6260256632513052	0.5272540624853593	0.37807067006460043	0.4935969690428124	0.47431122746536614	0.6886485745877035
A15-1	0.8234166980003008	0.6463622823374227	0.6509141394956172	0.7160824032433997	0.7978812961540187	0.6501900501148233	0.0	0.8049416328633981	0.7985998599155536	0.8038085554417636	0.6693253010637317	0.7630425810799109	0.8596337793856041	0.8122330636044347	0.7787771262783981	0.6138570936550495	0.764734628415963	0.7526979468404205	0.6770794604979785	0.7943960062713021	0.8001128897246538	0.7861464328760418	0.768422481450766	0.8306577661363671	0.80045146350426	0.8268741069148278	0.7755816445394542	0.8077063948258255	0.6312977570861418	0.7021310710834314	0.7505220963529832	0.8421306991895153	0.5861070651408284	0.7998587645969955	0.6958693499135503	0.7505777240843682	0.8261487800079979	0.8068942044195068	0.7458794267490803	0.807257005367591	0.6035176740743555	0.7957078365217581	0.8263165854031003	0.7934381232348094	0.7472691473774913	0.6415616748117394	0.7072100076693268	0.6803515574110515	0.8862073376392865	0.7057811610909853	0.6940668149212709	0.803746682513668	0.808356680693734	0.8268654950619256	0.8000741102399684	0.7977308700240048	0.687449490150262	0.7828315334171314	0.7050405188145267	0.5728493131912481	0.799635025244653	0.817473553458441	0.8229214155751599	0.8220037045659055	0.8283222691315801	0.8251609374467886	0.6890319002699514	0.7209264509005029	0.7536252508729411	0.791172023745569	0.793426105178964	0.7961258079060697	0.7137147464622008	0.803951382747318	0.8274325462537189	0.7928193247793937	0.7928560098345918	0.7769993864999599	0.7821178045886673	0.753881436811478	0.8174622833544197	0.8244545391458322	0.7982301289627524	0.7995213804066741	0.80772014214238	0.7787285457991784	0.7955622043285444	0.831101521710509	0.9173588637778585	0.7951192022731824	0.8088737360004341	0.7899391582583845	0.7647739701812877	0.7808730677684571	0.8157510747000091	0.8272538442456859	0.7800546953296107	0.6879021800705933	0.787248304022263	0.7052259901074743	0.6990634735807906	0.8575239207967582	0.8125099786095491	0.7880791521883372	0.7142003022940906	0.7660869373599024	0.813943254597998	0.822771806788749	0.803065270633202	0.730937926133892	0.7075467391069039	0.7589336061205015	0.7906533955964911	0.805543484977663	0.7980626459861592	0.814134877048582	0.6342171174724984	0.8176245047375928	0.8239622156967609	0.8046738836959567	0.798942767075868	0.8101844100607924	0.9011737685485415	0.9077696553582499	0.7835607793806015	0.7995839762195399	0.7922766435689903	0.8045025958270499	0.8250342800779267
A16-5	0.578002098015162	0.7380118729790566	0.7671322753344462	0.7771211970575923	0.8540482485490561	0.6925243761380554	0.8049416328633981	0.0	0.46147136813024514	0.48957694503620525	0.7595605806173458	0.5899148103411173	0.7528226912589733	0.6237256656088849	0.4119744301987034	0.6183986546608315	0.5095931808609386	0.5300196451688631	0.7843337278294121	0.7108866920289962	0.6006534367220592	0.44614396005583146	0.47015018578735845	0.6751948095028367	0.44162266909937026	0.5812780398104659	0.5028411221431431	0.5405111618003318	0.6423939359414412	0.7028366495987314	0.532125224785009	0.674831741142313	0.671526018936077	0.5506825420427383	0.6673830767286347	0.8465830271243012	0.6877335527291502	0.5848792572579147	0.7633937132460625	0.6327687243641464	0.679132104261459	0.4825823585860818	0.6902555203595446	0.6607646111342139	0.7234753994482002	0.6960484971175053	0.7929310672876809	0.6638743993774893	0.8080852049589127	0.9200655403769022	0.8472353916590443	0.8486578877614658	0.6000811897030607	0.8626066830788998	0.4972467983906088	0.44460336445903953	0.6960824544935222	0.3659952495896537	0.776973521477512	0.6587235368088837	0.5758343624547878	0.6250508422019291	0.5325743516312701	0.6197148044382325	0.7320979910156216	0.7384158693518342	0.6686620817539175	0.6996701933576723	0.7018271736112078	0.5536537386752467	0.4840994690964038	0.5239155115083423	0.6841958141159737	0.6418593556299272	0.6707100310436043	0.6099055932581425	0.5838366546399415	0.5477750667836443	0.5309246793521424	0.5617461964331131	0.6418042512920488	0.5826687635008498	0.5398693709517706	0.5492257328355812	0.4866673264026633	0.48682594596956913	0.560598169585301	0.6018154451877367	0.7803659599580618	0.5587954860499414	0.6117014197571256	0.5958819407152611	0.460055262077291	0.5388653520595389	0.6788043061677823	0.5559011034350457	0.6347838989964504	0.7079418061080577	0.8339976357125743	0.7361953862661027	0.6999663256263537	0.8651095655303482	0.8396112498961676	0.8451069521886612	0.7212662752521521	0.5412166495954231	0.6120484135474903	0.6031464158987255	0.530374953012786	0.5552871707637024	0.7568580661080243	0.5468831814776156	0.6226993157247545	0.6073415062153333	0.4923853755588886	0.592173596705053	0.7053391000874351	0.6423530761290489	0.5380441687668976	0.5961930067214458	0.3858996300400284	0.5002211530140018	0.6228005181027094	0.6764245084147016	0.43197713152689426	0.5766512483549534	0.6038881877843709	0.5955489329456792	0.763403121449936
A17-8	0.4183891759549551	0.6711646059769723	0.7085582722065067	0.7213354600941946	0.7660576988129348	0.5886900970142136	0.7985998599155536	0.46147136813024514	0.0	0.30659192281486114	0.6832650303483764	0.45344433768910214	0.6332765080629218	0.45057926395301945	0.4545619417882265	0.5152719409995481	0.5088775111414187	0.3976568798648714	0.7505867712328288	0.5226085510949198	0.4918245443216995	0.2504474722189341	0.3167769838474712	0.5666388932171932	0.27788940496123227	0.4661272341285526	0.3610624834685622	0.4211694453751922	0.5468450438339845	0.5528711471421139	0.4101409768679215	0.5621642333079044	0.5630488409944879	0.37783636373922663	0.5572524071524216	0.8133803240011217	0.6060901544604085	0.4384249802929484	0.63103391007943	0.4776487933898594	0.6009877291090893	0.29929600671901824	0.5335663653244478	0.5774275588826657	0.6575380455003413	0.6168971057397067	0.7415068850228907	0.5749805064903307	0.7025500760331852	0.8962382420624186	0.8214533734414651	0.7857606428968786	0.4677922981335624	0.8201969265027511	0.35350490839848053	0.28196319169750833	0.6910027243379491	0.18802114418154925	0.7211467469234422	0.5748044858561918	0.4635633247271483	0.5240401715529971	0.3109388041632831	0.4882990787697683	0.6271429395959585	0.6543132162367564	0.5812350138552932	0.5222573710050836	0.5821142274072679	0.4052540467259389	0.30150940354543926	0.22048029211534753	0.6014867038757533	0.5117193599228353	0.5603553625973515	0.44237305813973826	0.32515000169781355	0.42145481705041654	0.3988719879505965	0.3326748094471763	0.5460709554986902	0.3847098620919059	0.469485973578599	0.42339539242247703	0.33918916437992586	0.2906381206132583	0.4385887264697385	0.3832158287634249	0.6412548030613345	0.4007286019991104	0.506432478400728	0.4488529445662983	0.3706432063529502	0.38424345246768116	0.5147196227396698	0.41425121600937326	0.5175128302755061	0.6616177018345298	0.7773281111316575	0.6546849990022281	0.6276150752422978	0.8026324189176165	0.7896199268415796	0.7635253881674351	0.6250068259720426	0.38411466007404355	0.5068907567940427	0.3444367425586432	0.3685429559223244	0.5865367617325064	0.6231874402017841	0.42026144713913044	0.49769501839060687	0.508442136210179	0.3135804316681624	0.4545529216698219	0.5841672164328622	0.5467914094664802	0.36397286062416584	0.4065483017916667	0.27783721931506655	0.3106511653570903	0.5189923374064753	0.4908088345435909	0.22488386369221228	0.45997591732831455	0.4564668703319762	0.44836882098428743	0.6417155062382893
A2-2	0.36817320198319164	0.680606592769426	0.662288291076674	0.7281459201186807	0.8089081756765183	0.5484989432325377	0.8038085554417636	0.48957694503620525	0.30659192281486114	0.0	0.7067940854384694	0.5072433173916676	0.5992182522123912	0.34612716379252995	0.4868714784306723	0.5355128828799802	0.533365767701581	0.3111041481419872	0.7689327146858257	0.6019278399864844	0.42057498240667096	0.33565134067623925	0.3563132749438197	0.5337195469842336	0.3219094320454545	0.373429740886655	0.26838193319637	0.3251595599818432	0.47042542146187927	0.6148550965396452	0.4381987307781248	0.44464687548916637	0.5387138927189676	0.32410565131798974	0.5326408222053237	0.792072622808566	0.5502710977165782	0.3963205686788661	0.6470975973329739	0.3403409574766677	0.549846291977985	0.3790842035109823	0.5307759046524695	0.5229251527282047	0.6671881721663782	0.6296522117101139	0.7076278460682974	0.504041102459794	0.7664380604914661	0.9069585072628982	0.8347706904552421	0.8242053506681402	0.4330469680523559	0.8038561744556543	0.3890152219550091	0.32550291546380583	0.7007559428947742	0.24025302547777228	0.6843928653828167	0.5199255037499595	0.3926135811001793	0.443105370883608	0.16158317406029746	0.44973760227378407	0.6429174257656248	0.6188262171532715	0.5964282404587875	0.54475019999679	0.5002771964957948	0.3632979583033123	0.25716846037849694	0.38855584589204667	0.5472200305795034	0.46958570588826504	0.5245640307497699	0.3607546742854648	0.3713735854910227	0.33502190602046517	0.312520982181807	0.31731560633567096	0.4833344916644288	0.2439527591240917	0.3110305237296094	0.3217441247466614	0.24279730023802013	0.3764359216291012	0.3401477968016602	0.384142130379126	0.7082689859210257	0.33723536614236665	0.42196647688014305	0.2909877231175169	0.4449519077844362	0.3225646149282078	0.5122327905874686	0.41424964973062783	0.4805632905478513	0.6901698291147566	0.7423816886380066	0.5720430834639851	0.5802258299812921	0.8027915290981579	0.7404530167754362	0.7555038084043775	0.5926713324644493	0.3444660540473558	0.42251716079511265	0.49195508824280704	0.3091561940656572	0.6103417037265338	0.6445833084094732	0.4489797408937662	0.30307822200428697	0.4438765240389401	0.24871328081851923	0.3077618512482437	0.49013061860493606	0.48416652857661147	0.22290469204104138	0.23434586120354467	0.37452115141379994	0.2642456991623908	0.5933999010848089	0.4402839428140324	0.3187755256150913	0.38362541671132655	0.42553517537028074	0.2708497847025258	0.6990731883918344
