sample-id	shannon_entropy
A1-3	2.0680894994751178
A10-2	3.4075854392122227
A11-2	3.1921947334149037
A12-1	3.0920966889958756
A13-6	4.379470570797252
A14	3.0669575126884463
A15-1	3.2205038327557682
A16-5	1.1929670777401709
A17-8	1.7789398320634588
A2-2	1.8290292881602588
A21-9	3.2296535001674282
A23-4	2.9963002608758225
A25-4	3.5328786893420316
A26-3	2.9808822622124826
A29-6	1.1985488318903814
A3-1	1.4321886482357575
A30-10	2.2891932194655076
A31	2.2316752953611534
A36	2.9869575126884462
A37-7	2.6057533081173982
A39-2	2.5674066936981674
A4-5	2.0139432860384714
A40-2	2.1739119513005476
A41-2	2.1215419333359278
A42-3	1.4396706676730484
A43-3	2.576253995114343
A44-5	1.950166513482024
A45-1	2.347194439039145
A47-3	2.137724523007416
A48	2.4139119513005474
A49-8	2.4651634345918323
A5-3	3.1883211737968984
A6-1	3.27387179419703
A7-1	2.7249749254359052
A8	2.4777809392987615
A9-1	2.968243573297496
FL-1	2.617239226766082
FL-11	2.6404363827862323
FL-13	3.833786320494366
FL-14	3.0481020701914816
FL-15	2.458830073557112
FL-16	1.2112159638215654
FL-17	2.8961746300696416
FL-18	3.018571553136611
FL-19	2.752391115774091
FL-2	2.5582671768163747
FL-20	4.015337750470313
FL-21	2.1769429076898623
FL-22	4.983465189601647
FL-23	4.251343131665918
FL-24	4.574177320667443
FL-25	4.823465189601647
FL-26	1.8321886482357577
FL-27	4.616174630069642
FL-3	2.1292837076812248
FL-4	1.629860916204807
FL-5	1.634792420272972
FL-6	1.7360220272714284
FL-8	3.6211476315793796
FL-9	2.750111634228851
H102-3	2.649135332149997
H105-1	3.0405847348386423
H106_2	2.089806423839628
H107-1	2.830435500513583
H108_1	3.2860498815361106
H110-1	3.3283674395583778
H114-2	1.924946482419708
H115_2	2.614405037764556
H124-1	2.9281020701914815
H129-2	2.7506318828727707
H136_2	2.377906570104942
H162_2	2.679127985959554
H173-4	2.1901603656454203
H174-4	3.254545984622893
H176_4	2.7149467502972358
H181-2	3.0472103113389797
H182-4	3.008391925349906
H183-4	2.112775924140481
H184-4	1.839670667673048
H186-4	2.7433413233407653
H187-4	3.3565656302427196
H188-4	2.369749924399557
H189-4	3.2826990615553266
H190-4	2.502124864134545
H192-4	2.0140247178692308
H193-2	0.799556365373903
H194_2	2.8573899391256847
H200-4	2.791985393451357
H203-4	1.3463137138648347
H204-4	2.3916752953611535
H205_4	3.0966945626323703
H214-2	2.370564432903234
H215-4	1.7802506348753189
H216-2	2.581926014260873
H217-4	3.159537704685599
H218-2	3.000518554905425
H220-4	3.8072103113389795
H221-4	2.133660689688186
H222-4	3.8915463629715017
H223-4	3.7112723801129106
H226-4	2.7373334396856133
H227-4	4.67127238011291
H228-4	4.4810768800263725
H229-5	4.30768348363125
H230-6	3.5187593220041053
H32_1	2.4631933563169555
H32-2	2.7963002608758223
H36	2.223454830197882
H37_1	2.697389939125684
H49	1.6176075056929298
H50-1	3.522055262731715
H51-1	2.5628921423310436
H55-1	3.243215692534585
H97-6	2.936174630069642
L1-1	2.442058564315186
L11-4	3.2586885704510977
L12-3	2.6736144239267072
L13-1	2.993727823576531
L14-1	1.8967731170869022
L15-1	2.394932349021566
L16-3	0.7212798655525017
L17-2	1.2261447090189015
L18-2	0.5293608652873644
L19-2	0.5221791902022727
L19-4	2.0024369937718998
L20-3	2.632336236520918
L22-4	2.9425866158606304
L23-1	2.9858621126686162
L23-3	3.4472103113389787
