	A10-1	A10-2	A11-2	A12-1	A13-6	A14	A15-1	A15-8	A21-9	A26-3	A30-10	A34-4	A35-2	A36	A38-1	A39-2	A4-5	A40-2	A42-3	A45-1	A49-8	A6-1	A7-1	A8	FL-1	FL-10	FL-13	FL-16	FL-17	FL-20	FL-21	FL-22	FL-23	FL-24	FL-25	FL-26	FL-27	FL-3	FL-6	FL-7	FL-8	FL-9	H102-3	H105-1	H107-2	H113-1	H115-2	H118-1	H124-1	H124-2	H129-1	H134-2	H141-2	H146-2	H149-2	H164-2	H174-4	H176-4	H177-2	H181-2	H182-4	H183-4	H191-4	H193-2	H194-2	H207-4	H210-4	H211-4	H212-4	H213-4	H218-2	H220-4	H225-4	H226-4	H227-4	H230-6	H37-1	H45-1	H49	H50-1	L12-3	L18-2	L23-1	L23-3
A10-1	0.0	0.4423136054815131	0.7218459244173409	0.39206007521549374	0.8870003837423489	0.9247904025082253	0.886590112634815	0.8789705264933791	0.9716827913447704	0.8524422692545586	0.8424906897340877	0.9432071979955272	0.9369290156474359	0.8629259510198334	0.4381527398947	0.6175394357562521	0.912757452093549	0.9663051823681696	0.5387935496348406	0.9067869039375133	0.5625010218688314	0.812841129649047	0.37678138305677733	0.8631750033817976	0.9064704414482379	0.8388637408609513	0.9330025334555967	0.8510868566357949	0.9078749271307456	0.8776444676491286	0.9137588546632245	0.861146749632821	0.8240513585515877	0.9091399470357104	0.9083546511261016	0.7130268808424732	0.8895472695744304	0.9065598421928994	0.5265200619710844	0.93224086495461	0.8469448171447118	0.8244584401957288	0.6900584533096606	0.5305080750414398	0.7238312910168895	0.6717332743956925	0.8834315694324206	0.9528343836570252	0.9089219528239532	0.9444535397182572	0.922981991596384	0.9930468847799708	0.9488941371395944	0.9928607885006228	0.8261089607419704	0.9648053876709665	0.9108612600346718	0.4642420840931767	0.847606666043152	0.39957709147073545	0.30879437998395887	0.9382611250770782	0.9611048203108181	0.8765649366877968	0.5859183569148192	0.9437406994063886	0.9078522110049977	0.7833814014889141	0.8913499747590508	0.8823678068376325	0.9695889765539473	0.9170954225212901	0.8720298051593212	0.943453302303884	0.9249216004612081	0.5261429341030118	0.7240307474710477	0.9110963657701369	0.9716924757465916	0.7356554417889362	0.878026501409393	0.8142499659431057	0.4755446919165982	0.8130260796598903
A10-2	0.4423136054815131	0.0	0.646045854274885	0.38623937015240456	0.826824724282784	0.9620271798021298	0.8859829625426986	0.8753983246189867	0.9266882594353936	0.8519191648430822	0.9103712225856387	0.895865423362414	0.8365992991627988	0.7975961000548343	0.3694610017917162	0.6771017056926079	0.9108432874884312	0.8121663982955886	0.6781949920269288	0.9073602248847484	0.4715158581714096	0.7532211991223733	0.4526000481087458	0.8613756886896934	0.8744513676984227	0.8473095991664255	0.9001215788123365	0.9001862933661193	0.8665119931719246	0.9096523071445368	0.9571554556698203	0.9034286935796456	0.9093263335722305	0.9014744740130718	0.8939076538561604	0.6639271298255045	0.8184906560682859	0.9561944842649969	0.4631724159431632	0.9300795593765667	0.727098991969233	0.8767298771662704	0.6392555649269978	0.534432917851634	0.7182270228966702	0.7113228265795899	0.8301804543580142	0.8783057203587297	0.8680564739444803	0.8982609974660257	0.8776175575681892	0.9930123973997775	0.9486447457015474	0.9928244255173808	0.8670130078336098	0.9646376500477929	0.7704945215734171	0.37591811027388966	0.8198092941483716	0.4952285923850622	0.49590691418984845	0.9775212580327933	0.9609287677474293	0.8984986934698264	0.570484931386023	0.8950530644462827	0.8789853450639786	0.7320474481824519	0.8720141612305718	0.862480416462089	0.920984770314965	0.7746842927655371	0.8749239406104329	0.8963388681122991	0.8061848126556596	0.5584611133326318	0.7422220861180399	0.9106328298650759	0.9267145446354396	0.780966786305141	0.8536222838144572	0.8849010241979085	0.4594933892660025	0.8641586106758691
A11-2	0.7218459244173409	0.646045854274885	0.0	0.6824775713856003	0.8358536967953167	0.9291887233019265	0.9091493315786858	0.9046038734023328	0.9079444573327048	0.8733110419353272	0.8623017433148659	0.9338717565967788	0.7813928918182903	0.7566713837223531	0.6754169582145909	0.8218575025185072	0.8207378197456796	0.8682869849018504	0.6543957218706093	0.8833831674335151	0.6784145800106255	0.7379379046597625	0.7763191779134976	0.7828589820089812	0.8447911582819739	0.804143539811857	0.9264964015837179	0.8340513627461477	0.8901048987816614	0.8455803765357719	0.929490667473053	0.8921912125377232	0.9046318752174302	0.8870782725885772	0.8841503848834792	0.6924843508576215	0.8128458150391009	0.9307619189657735	0.6733697006340109	0.9022517935372086	0.710840864724669	0.7783858573472257	0.675755504824341	0.8033254276876104	0.7716397397686541	0.7828273976028345	0.8445185173563413	0.9435260187822039	0.9056751285320269	0.9350915294722224	0.8219983029302901	0.9943477248802645	0.9583301267037375	0.9942253601629609	0.8865264634706099	0.9711799781464449	0.8205506681781329	0.7737449203635466	0.7983301204768509	0.8055617208280162	0.7819480628389711	0.940346020311854	0.9678582371126739	0.836764366832146	0.5919267522314751	0.9109356961725634	0.8428264733441627	0.7466655155846378	0.8711713028181077	0.8426292855767519	0.9553679804387	0.834505355575503	0.8400609234255895	0.9341119248724546	0.8165963655913934	0.7434844206086637	0.7882442728637317	0.9001303019469337	0.9579619132762659	0.7896920823555953	0.8337304360024466	0.8026507183854944	0.7084431721683477	0.8290659564302395
A12-1	0.39206007521549374	0.38623937015240456	0.6824775713856003	0.0	0.9041581876995061	0.9558511496606422	0.8648624083908227	0.8604624800131306	0.9411624969990136	0.8348247432074901	0.8742254229881987	0.9543635503754089	0.9469996513461879	0.8658440827144451	0.31309736560291196	0.6486328108050057	0.905864969782302	0.9796447897545151	0.6575185620512475	0.9397982368541677	0.547267025788821	0.8397718101007473	0.3565544747403167	0.9144469788554804	0.9155894737414644	0.8739322942922658	0.9782413654142877	0.8328289377028995	0.9648884304270503	0.881079118586033	0.9684951092934155	0.905934124820096	0.8941443579836572	0.8971181625638759	0.8986325219463387	0.72384730003489	0.9247608732992255	0.9666971917681912	0.47100045193252926	0.9758375879894613	0.8503602543620264	0.8026569427639741	0.7374398905706575	0.5550550470383709	0.7503584323101822	0.6533927657272498	0.8746134506854653	0.9629812030221991	0.9141298757750748	0.9555022563144785	0.8326847991512231	0.9918292918774081	0.9401132639957728	0.9915711024294175	0.864540937995166	0.9589222909922782	0.9477433281128429	0.41010292982190144	0.8426299223401504	0.5150678961880846	0.41557237891696475	0.9735817643052954	0.954979872880597	0.8653478944920566	0.567967666788577	0.9531898886747243	0.8638314756586405	0.7718138201455659	0.912118993667969	0.8745288909096923	0.9853563771474423	0.9234065924365786	0.8521429966585073	0.9545889568042759	0.8988319370048419	0.546739282522046	0.7728695769256014	0.8510884106456221	0.986508350117669	0.7742305611463668	0.8542009322112916	0.849311287231039	0.43595283462604567	0.8427285974886854
A13-6	0.8870003837423489	0.826824724282784	0.8358536967953167	0.9041581876995061	0.0	0.9215548541817804	0.8934525248785988	0.893103884213409	0.9067431699461178	0.943081662674732	0.8727801618498574	0.9021017741790759	0.6722994488801506	0.6942671486750713	0.8557629898695965	0.9343414739271639	0.8182336640743305	0.8811350510048215	0.9054386669967993	0.8414951060895985	0.8577749908914681	0.8074688121666757	0.9544567572646275	0.8506246186117331	0.800870601738908	0.8172284994283768	0.7873928933966868	0.8592903836622576	0.7955758342282585	0.7141254544895842	0.9293963115427907	0.8859141877102168	0.9097651757010257	0.8846773965103546	0.7500957854516479	0.8025821354181021	0.7985822314560601	0.9157829316594585	0.8808261666009438	0.8486496878031299	0.682680024713488	0.8092111574923079	0.8276674327670424	0.9313565331726865	0.8971800316214139	0.9256582850490548	0.8231929248908428	0.8560365953415743	0.9031614428395728	0.9042219314359665	0.7837277554400232	0.9488951427351527	0.9517293524511397	0.9549460101858873	0.8685951827511789	0.9667149957741233	0.7400197696548648	0.9296899286650757	0.8301252768947723	0.944782082543187	0.9635393551015948	0.9419657436450025	0.9631150281669144	0.7633371754339153	0.8436861137700427	0.9004956253816214	0.857013671684484	0.8588587704200662	0.8691325359518979	0.8568847947148875	0.9259638845340143	0.7994648180857081	0.8609598076511761	0.9025203241347607	0.8385610183269749	0.8774880804434523	0.9280151027759543	0.9163445136924582	0.8924827170726948	0.9469098599551203	0.8391140014415898	0.8339869657911091	0.8071489467272399	0.825392677588684
A14	0.9247904025082253	0.9620271798021298	0.9291887233019265	0.9558511496606422	0.9215548541817804	0.0	0.9328135954255066	0.9345471959139335	0.9629767481820757	0.9516246678957945	0.7838427545790836	0.9506007656864855	0.8160637315220145	0.8221351982984374	0.9617046128277444	0.9789838359457506	0.8406499162018616	0.9488606268180142	0.9529703454144872	0.786248908302971	0.9303654359174841	0.8150478586784414	0.9157343804558984	0.8849709187716809	0.8878295434901868	0.647803464754475	0.9613025880188484	0.762095641878332	0.753632119046583	0.9097506291443079	0.806416136949539	0.9495473927883141	0.9645684855388404	0.9478827224394645	0.9807571682905576	0.9472325299263851	0.9101536517773776	0.714198955377061	0.8586294143684813	0.7746428870756881	0.8791550846732227	0.7838701056469077	0.942715357855656	0.9653397074321974	0.9574061591291236	0.9567437650208616	0.939118765927432	0.9694554002098016	0.9335021420202775	0.9537398137684343	0.9508376907440594	0.9715376022826948	0.9064891286849448	0.9681377860030802	0.9484661527019483	0.9427955313916551	0.8477495162073388	0.9562099339832725	0.8959470609010072	0.9659450346459056	0.9037894867726961	0.5599150245190709	0.9523311900260327	0.9753436144607563	0.9495451512259564	0.9493893012351291	0.9658176951034996	0.9723038444555996	0.9707507690944831	0.9802324483594629	0.9528481497653698	0.9553772506326579	0.9671050095861288	0.951242511643018	0.9550941302460297	0.934880414158455	0.9624754393743115	0.9338817132355155	0.9630162234925647	0.965521525427766	0.9559737138516439	0.880417477182307	0.9339287708063556	0.6789577829676187
A15-1	0.886590112634815	0.8859829625426986	0.9091493315786858	0.8648624083908227	0.8934525248785988	0.9328135954255066	0.0	0.22667080294637262	0.9578871043762462	0.944158512341629	0.8661931427472549	0.8504000135780284	0.9811610480701779	0.8490819254538718	0.8848998125707338	0.9400357624385516	0.9217345329498415	0.9648614242892656	0.8547273859843814	0.9627633322324688	0.9586678943077158	0.738412922858043	1.0	0.9338011415637785	0.9354700471667016	0.7457084661212167	0.9829216658086001	0.7122746107476712	0.9640611034288344	0.8825117322489792	0.9726633999689861	0.939028711232605	0.9167611772983623	0.9431418804732354	0.9453796439949987	0.9361338252314203	0.9868581242989269	0.9682272666551328	0.9831073829837615	1.0	0.8087547876442402	0.6148460172937419	0.9272360208133567	0.9606563712822549	0.9511807073154123	0.9503812158062861	0.8626874474258726	0.9151498776051682	0.9214825598853267	0.8619782110318598	0.7922979631947662	0.965617195927802	0.8130578032754096	0.9605294893874251	0.8385040475454556	0.8491312838608385	0.9294491703421464	0.9497359503556843	0.8631160405566511	0.9870598900047006	1.0	1.0	0.8568252264137785	0.8391419012960849	0.8424331565632026	0.909390094803133	0.9199390930960286	0.9361348801690745	0.8877712490221973	0.9552640602888343	0.9442701894991996	0.8344870787514455	0.905940237494756	0.8527952389327089	0.9175453838959265	0.9899482397560616	0.9572564731940596	0.4498426679029886	0.9579381716869734	0.9459307803940299	0.6037013702113174	0.8110114172791049	0.9220689814673422	0.49391416532856136
A15-8	0.8789705264933791	0.8753983246189867	0.9046038734023328	0.8604624800131306	0.893103884213409	0.9345471959139335	0.22667080294637262	0.0	0.9588100148538165	0.9446558591826975	0.8676286307370112	0.853916931013169	0.9812999279654308	0.8416629150678552	0.8810842374856099	0.9390530235595904	0.9228647901957335	0.965506301098438	0.8530292301210234	0.9634867254455401	0.9588966762800043	0.7450060610914604	1.0	0.9344989393182027	0.9361332810232846	0.7365644634894465	0.9830754513270155	0.7188311183820542	0.9647354085116113	0.8786252739808532	0.9730552959000617	0.9361668029188992	0.9173189522816841	0.9427976867776588	0.9439428357182569	0.935142483084009	0.9869493761044769	0.968620311915071	0.9832191337922034	1.0	0.8069307394013394	0.6131450995179036	0.9243030793849792	0.9609039073585212	0.9515612602303831	0.9507742848905366	0.8643416426276246	0.9162928760203027	0.9224622975283887	0.8649772717989495	0.795736383040212	0.9667446444984867	0.8185175526032388	0.9620081124276283	0.8333713399844184	0.8532756288927577	0.930241182719243	0.9501392676667345	0.8599390367447802	0.9871483707947855	1.0	1.0	0.8600497889010456	0.8410010155984452	0.8374070958727743	0.910692346964533	0.9204552233343901	0.936463741266086	0.8887828356482034	0.9554256703952004	0.9458750522374667	0.8368845693514447	0.9065313802274164	0.8562017223216097	0.9182443903761658	0.9900017110436861	0.9575484809074557	0.4733258031041391	0.9588588696934743	0.9462739508293797	0.5929286074583909	0.8018253180469419	0.9225580992893381	0.47163282221473835
A21-9	0.9716827913447704	0.9266882594353936	0.9079444573327048	0.9411624969990136	0.9067431699461178	0.9629767481820757	0.9578871043762462	0.9588100148538165	0.0	0.9853124136490757	0.9601048362086632	0.5544069540531479	0.8465232363449928	0.7189489871886354	0.7969082896705286	0.9717553848683996	0.8606434951472396	0.6234005287989612	0.9651607517498911	0.49104474594676034	0.9403582230851643	0.9778697528550633	1.0	0.8679298154151415	0.7904827061433481	0.9009731643636334	0.8248207577119274	0.9713909100008956	0.8002779454523684	0.9094877855072505	0.9428676391258592	0.9836701475805387	0.973373201476099	0.8994750193127559	0.9272607391914691	0.9421744637623789	0.7912338017930455	0.9503000494435826	0.9319827608318026	1.0	0.7594921307241872	0.8167565090987022	0.952095030357922	0.8827281262390441	0.8544929420186665	0.9660727261491099	0.8849535177387358	0.747161691461888	0.8071024859501125	0.6693808443899564	0.8569734690456028	0.9757665345996102	0.9623553255871763	0.9733449291811499	0.9620341492577514	0.9633040028378553	0.8841098418592889	0.9304792546720119	0.7586509978018071	0.8685612334418943	1.0	1.0	0.9687211366156758	0.8882025581529893	0.984732544436214	0.7300087135450094	0.8209126903889112	0.9070715833933264	0.965539569310135	0.9023785023120291	0.37051633563251146	0.7466363574331075	0.8283067973967256	0.5615344309130332	0.7570732363336574	0.9074882413157922	0.87259685120146	0.9584548645454675	0.5413121535711782	0.9740586010251728	0.7964400203362559	0.862923539269374	0.9366864518136461	0.9664966084584738
A26-3	0.8524422692545586	0.8519191648430822	0.8733110419353272	0.8348247432074901	0.943081662674732	0.9516246678957945	0.944158512341629	0.9446558591826975	0.9853124136490757	0.0	0.9415419087104552	0.8871639482759225	0.9555486609025815	0.9508474304272514	0.8331169608530413	0.9072701802201192	0.8263781798641966	0.9779515559181704	0.8273169794455228	0.9613645115379826	0.8730830396150074	0.9008579162199744	0.8524683540950929	0.8913131928859567	0.8570255238082455	0.9372767499579637	0.9328785314798198	0.8651954133467179	0.9618961204666355	0.9395523122954615	0.9661068761875828	0.8776980880099791	0.8780454508498033	0.9296337221442714	0.9090872407902476	0.9025772043143255	0.9248438005331328	0.9643475255374627	0.8539870190367136	0.9735610920207244	0.9212008417770751	0.9275393030337786	0.8345770596722214	0.729408926695616	0.7572894967181087	0.7536090354355378	0.9123450802583333	0.8998935899541076	0.7213703690286744	0.8763103310630934	0.9235987753418521	0.9569875314082269	0.7859978447917176	0.955435229714762	0.8413272263685186	0.8161502673702271	0.8619269113644279	0.7784122374593611	0.8491300107248412	0.8742946491845762	0.862735953330334	0.9708362042673352	0.7255626328294545	0.9647740848515606	0.8187457784712636	0.8511534551998882	0.8486756404917071	0.7580470681960773	0.8945961303672765	0.8903437041258337	0.9839441844458864	0.9274039242993725	0.8762806672641217	0.8744124232912976	0.8974258040697664	0.8955817382302022	0.6811288558503574	0.9444629144113582	0.9552820276474902	0.8278141326538162	0.9526157690089783	0.9387478306374617	0.7896785853339989	0.921542602477758
