sample-id	faith_pd
A10-1	4.024913996
A10-2	4.003200362
A11-2	5.037428202
A12-1	3.369308006
A13-6	4.287540634
A14	0.700195019
A15-1	0.515132415
A15-8	0.545295362
A21-9	0.887747864
A26-3	3.028794768
A30-10	2.638473041
A34-4	0.925185102
A35-2	3.622798358
A36	3.011492635
A38-1	3.965032403
A39-2	7.659251573
A4-5	1.704468232
A40-2	1.154939925
A42-3	3.130570353
A45-1	1.06403435
A49-8	5.127973237
A6-1	1.730681846
A7-1	2.568118263
A8	2.503642687
FL-1	2.576868293
FL-10	1.765854126
FL-13	2.861080597
FL-16	1.150548163
FL-17	1.119011665
FL-20	3.883367673
FL-21	1.615405199
FL-22	7.531874871
FL-23	4.328207357
FL-24	8.080549371
FL-25	8.413763421
FL-26	7.188086304
FL-27	3.855395061
FL-3	1.969509955
FL-6	4.090747135
FL-7	0.680919897
FL-8	2.365359958
FL-9	1.159565775
H102-3	6.302661585
H105-1	4.436265069
H107-2	3.511594997
H113-1	3.44973366
H115-2	2.298150514
H118-1	1.88127313
H124-1	2.059433924
H124-2	1.030285604
H129-1	1.648909622
H134-2	0.405147466
H141-2	0.674917766
H146-2	0.290467397
H149-2	2.810790596
H164-2	0.713850705
H174-4	2.328989532
H176-4	3.401240793
H177-2	3.325650078
H181-2	3.922657556
H182-4	2.932952845
H183-4	0.343234741
H191-4	0.981410496
H193-2	2.479483821
H194-2	2.882194792
H207-4	1.740855705
H210-4	4.50568457
H211-4	5.684550649
H212-4	3.173255898
H213-4	8.176405321
H218-2	0.558822778
H220-4	1.876690419
H225-4	4.702678075
H226-4	0.945571289
H227-4	3.303605359
H230-6	5.181555822
H37-1	4.057330541
H45-1	0.533529566
H49	0.889382272
H50-1	4.462444184
L12-3	1.114208166
L18-2	2.39423285
L23-1	4.632733975
L23-3	0.861067972
