	A1-2	A1-3	A10-1	A10-2	A12-1	A13-6	A14	A15-1	A15-8	A17-8	A2-2	A21-9	A30-10	A34-4	A36	A37-7	A4-5	A40-2	A43-3	A44-5	A46-6	A6-1	A7-1	A8	A9-1	FL-1	FL-10	FL-12	FL-13	FL-14	FL-15	FL-17	FL-18	FL-20	FL-21	FL-22	FL-23	FL-24	FL-25	FL-27	FL-3	FL-5	FL-6	FL-7	FL-8	FL-9	H115-2	H124-2	H134-2	H146-2	H164-2	H174-4	H176-4	H183-4	H184-4	H194-2	H200-4	H218-2	H220-4	H224-4	H225-4	H226-4	H227-4	H45-1	H49	H50-1	L12-3	L15-1	L23-2	L23-3
A1-2	0	0.760266317	0.686641113	0.954261984	0.955926907	0.886230822	0.960436566	0.962480342	0.954924276	0.801042943	0.856461617	0.798402754	0.972647519	0.972697718	0.804805744	0.956701196	0.830226496	0.823293765	0.972697718	0.959009611	0.970170856	0.964752334	0.959632235	0.794351969	0.861740391	0.873829569	0.954421442	0.916952134	0.903976654	0.776181609	0.967583444	0.965356223	0.740462454	0.906863671	0.953604354	0.929275196	0.782691033	0.887109725	0.8562512	0.845984156	0.960135836	0.925082906	0.75266228	0.829124197	0.960339068	0.959536576	0.97173271	0.973078542	0.953643216	0.95373407	0.967496052	0.878372669	0.956836302	0.954375159	0.960806043	0.87271791	0.745031802	0.972697718	0.80226835	0.963633966	0.961350394	0.963721477	0.855311746	0.955697285	0.954328867	0.938652189	0.960218838	0.823929792	0.956089855	0.960844457
A1-3	0.760266317	0	0.963970276	0.865863617	0.879242064	0.937877473	0.907980931	0.9183283	0.87140478	0.90690309	0.641174004	0.229154968	0.954855726	0.929373367	0.830943007	0.94386619	0.669368618	0.899123942	0.929373367	0.949000199	0.968203731	0.928377643	0.950314853	0.912441056	0.902427118	0.805423986	0.867225904	0.888332558	0.931357251	0.899042848	0.939172317	0.930827737	0.751396822	0.876667051	0.936261131	0.962562221	0.976348743	0.969694388	0.937806346	0.695035747	0.951357693	0.817490267	0.833924308	0.868104649	0.907451774	0.902960909	0.922532072	0.931866558	0.860398835	0.861219543	0.921342623	0.944430578	0.885832564	0.866832378	0.909955224	0.931839681	0.950516177	0.929373367	0.917819552	0.923603679	0.912777512	0.92398886	0.927863854	0.877502449	0.866437245	0.966407295	0.906794449	0.938758809	0.880457542	0.910157717
A10-1	0.686641113	0.963970276	0	0.84517135	0.873266663	0.94003839	0.956878077	0.879837525	0.829957902	0.971557072	0.968195696	0.963536604	0.91797758	0.977473736	0.964620589	0.658971097	0.964695876	0.97056665	0.977473736	0.781963101	0.59091364	0.873859684	0.561470246	0.963944496	0.970976106	0.972106211	0.845660987	0.673440314	0.920251997	0.970556795	0.935235325	0.961491044	0.8856165	0.913836626	0.898373236	0.860695604	0.796643599	0.845733868	0.836076912	0.973977348	0.911527447	0.966944758	0.686860914	0.957431292	0.865669636	0.856676731	0.976820854	0.977733611	0.950795553	0.9508748	0.972976533	0.949408628	0.916748116	0.951435566	0.95721828	0.707619348	0.69614357	0.977473736	0.899105024	0.928289401	0.915638077	0.928441348	0.941627107	0.87267821	0.951394983	0.763960258	0.853474902	0.614034552	0.952949166	0.865651861
A10-2	0.954261984	0.865863617	0.84517135	0	0.373250521	0.882157191	0.866298594	0.603664236	0.096590997	0.932697827	0.910253718	0.859649138	0.830414735	0.921495598	0.874454888	0.736561689	0.920726747	0.926875479	0.921495598	0.929795098	0.966699308	0.638200513	0.931719884	0.916835137	0.92935163	0.950346499	0.019875687	0.954406724	0.935497189	0.926814617	0.843224478	0.902508244	0.673105244	0.928580829	0.910802198	0.838164664	0.968545112	0.892010141	0.881167193	0.944837618	0.933242108	0.899523996	0.957040504	0.871477297	0.486935235	0.439564974	0.912950693	0.924563912	0.783205267	0.78473529	0.91358295	0.906579136	0.660990613	0.795102667	0.869515769	0.789546352	0.811118903	0.921495598	0.756829673	0.795206632	0.726942487	0.796441023	0.876073053	0.35859005	0.79437829	0.909486873	0.473093146	0.942691432	0.819589062	0.493524679
A12-1	0.955926907	0.879242064	0.873266663	0.373250521	0	0.886610566	0.876825595	0.675391975	0.410082335	0.93624194	0.916447014	0.874228567	0.756306716	0.928704119	0.886249817	0.7920157	0.924550009	0.93104035	0.928704119	0.932810313	0.96806879	0.723251673	0.934575393	0.92103305	0.933246726	0.951873988	0.382431642	0.955697865	0.938051409	0.930986226	0.851791435	0.908227365	0.733477576	0.930413214	0.915613634	0.867845016	0.969165094	0.864287736	0.850660423	0.947241319	0.935974263	0.90722319	0.958188662	0.881234355	0.620408163	0.596666882	0.92172615	0.931243934	0.809591814	0.810773073	0.920676338	0.909689818	0.698656532	0.818831057	0.879561287	0.748549508	0.747414186	0.928704119	0.791919272	0.809584462	0.749719403	0.810652064	0.881488107	0.152798833	0.818264972	0.912137382	0.61697238	0.944716607	0.838243139	0.634413234
A13-6	0.886230822	0.937877473	0.94003839	0.882157191	0.886610566	0	0.842927634	0.778899733	0.883930245	0.765503099	0.830495093	0.936972523	0.685257596	0.847038639	0.736856237	0.921049635	0.820341612	0.754223079	0.847038639	0.875878254	0.899106381	0.756975812	0.851348294	0.669089203	0.718703991	0.764811253	0.88258427	0.87377251	0.867390351	0.754109376	0.658274606	0.655802772	0.809356685	0.73774602	0.872931588	0.849057935	0.926353614	0.945341647	0.931489357	0.794456499	0.853357235	0.760860455	0.824071117	0.624350104	0.720423503	0.767885892	0.861532168	0.849367922	0.941063698	0.941177357	0.968326592	0.68388203	0.900754787	0.816432717	0.950046392	0.819889714	0.835453663	0.847038639	0.709262047	0.798590503	0.765470101	0.799139765	0.748756182	0.885997131	0.941921625	0.934813857	0.834841654	0.897775588	0.762758651	0.724692117
A14	0.960436566	0.907980931	0.956878077	0.866298594	0.876825595	0.842927634	0	0.910600657	0.870599943	0.945267185	0.931293845	0.90509826	0.627219483	0.944625897	0.91210706	0.935471048	0.789365217	0.941477747	0.944625897	0.905787242	0.971711657	0.710373347	0.817039301	0.779679487	0.943074507	0.834994437	0.867348526	0.848321438	0.912526052	0.941438772	0.775621776	0.744510781	0.922247792	0.866773812	0.770770239	0.929498941	0.953038182	0.961415011	0.935259337	0.953575844	0.592479284	0.925176801	0.74956756	0.670880139	0.65692855	0.640029754	0.940506597	0.946170282	0.770628965	0.77174363	0.936896061	0.827842805	0.882194092	0.503216515	0.842298883	0.945229512	0.942362313	0.944625897	0.935447884	0.915541403	0.905506211	0.915906013	0.94241024	0.875429059	0.77888399	0.957511201	0.900131045	0.822796943	0.55499426	0.667099425
A15-1	0.962480342	0.9183283	0.879837525	0.603664236	0.675391975	0.778899733	0.910600657	0	0.617573351	0.646116925	0.532115202	0.916065452	0.722570545	0.411496125	0.921595124	0.81760025	0.93872927	0.616355729	0.411496125	0.697342509	0.743600492	0.771791008	0.945509918	0.919364745	0.776331732	0.860203449	0.607067132	0.960997634	0.721452574	0.616045331	0.547911618	0.744269158	0.77825383	0.92852846	0.932964415	0.758439516	0.862816429	0.906935479	0.89899285	0.708597863	0.946483752	0.908396747	0.962941211	0.912946115	0.712653323	0.700353786	0.918692942	0.47462846	0.879794255	0.880266121	0.943090858	0.81297549	0.803445092	0.8835436	0.912050591	0.846191805	0.5636036	0.411496125	0.446360981	0.414236485	0.273844749	0.417645686	0.640624618	0.671503237	0.883309956	0.922962073	0.553343459	0.95273166	0.891883859	0.720129702
A15-8	0.954924276	0.87140478	0.829957902	0.096590997	0.410082335	0.883930245	0.870599943	0.617573351	0	0.934122116	0.912768607	0.865704046	0.833232069	0.924465967	0.87932185	0.732373336	0.922258932	0.928553788	0.924465967	0.930999452	0.967245688	0.634409877	0.932859641	0.91851985	0.930919419	0.950951987	0.113010152	0.954917747	0.93651527	0.928495688	0.846671641	0.904815358	0.682441669	0.929304874	0.912737358	0.828173197	0.968789189	0.893159502	0.882557464	0.945798096	0.934332018	0.902665648	0.957494486	0.875456847	0.508848862	0.439731419	0.916587902	0.92731069	0.794292742	0.795670765	0.916487563	0.907814142	0.676707568	0.805034477	0.873615781	0.781316722	0.814607245	0.924465967	0.762137594	0.801049448	0.736277211	0.802214608	0.878236979	0.397112149	0.804378735	0.910536553	0.444754701	0.943496494	0.827333761	0.521877404
A17-8	0.801042943	0.90690309	0.971557072	0.932697827	0.93624194	0.765503099	0.945267185	0.646116925	0.934122116	0	0.601886677	0.904855877	0.86452886	0.583152023	0.755101236	0.96034553	0.94165161	0.368188804	0.583152023	0.761350097	0.782603754	0.953195316	0.963675992	0.720346967	0.66768448	0.870904565	0.933042523	0.960889707	0.75538092	0.286183933	0.72247105	0.810278834	0.753969001	0.956455831	0.956695477	0.8841584	0.880830101	0.975247801	0.961655769	0.730537856	0.964236537	0.900146986	0.85007932	0.804978464	0.945080412	0.943529585	0.937353763	0.620943499	0.931349453	0.931548519	0.954522168	0.738901737	0.938127723	0.932942591	0.945971787	0.879278791	0.767525344	0.583152023	0.424841579	0.664705728	0.627062018	0.666081787	0.548830363	0.935760271	0.932842544	0.973097763	0.733071031	0.808231342	0.936582391	0.946044753
