sample-id	host_species	host_subsection	latitude	longitude	BIOCLIM_1	BIOCLIM_12	aridity_index_UNEP	GTOPO30_ELEVATION	ISRICSOILGRIDS_new_average_phx10percent_reduced	ISRICSOILGRIDS_new_average_sandpercent_reduced	ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced
A1-2	Heuchera_americana_americana	Heuchera	33.725	-85.600833	152	1454	1.082697988	315	50	17	19
A1-3	Heuchera_americana_americana	Heuchera	33.725	-85.600833	152	1454	1.082697988	315	50	17	19
A10-1	Heuchera_americana_americana	Heuchera	38.2152778	-85.906944	127	1153	1.01643014	208	55	23	23
A10-2	Heuchera_americana_americana	Heuchera	38.2152778	-85.906944	127	1153	1.01643014	208	55	24	23
A11-2	Heuchera_americana_americana	Heuchera	38.2591667	-86.461389	126	1164	1.009698272	138	54	39	31
A12-1	Heuchera_villosa_macrorhiza	Villosae	38.1575	-86.340278	129	1155	1.002618551	151	61	21	31
A13-6	Heuchera_americana_hirsuticaulis	Heuchera	37.60485	-88.384667	131	1198	1.035372376	189	51	39	24
A14	Heuchera_americana_hirsuticaulis	Heuchera	38.9730556	-90.464444	123	957	0.849868417	131	60	18	32
A15-1	Heuchera_richardsonii	Heuchera	38.1491167	-92.825311	131	1053	0.881890237	223	59	26	32
A15-8	Heuchera_richardsonii	Heuchera	38.1491167	-92.825311	131	1053	0.881890237	223	59	26	32
A16-5	Heuchera_richardsonii	Heuchera	43.4175	-89.726944	72	806	0.870062709	292	57	39	62
A17-8	Heuchera_richardsonii	Heuchera	45.3975	-92.648056	60	783	0.877458692	259	58	50	40
A2-2	Heuchera_americana_americana	Heuchera	33.3705556	-85.713056	155	1468	1.092863441	306	52	58	17
A21-6	Heuchera_richardsonii	Heuchera	47.7205556	-91.777778	34	720	0.94221276	455	53	58	127
A21-9	Heuchera_richardsonii	Heuchera	47.7205556	-91.777778	34	720	0.94221276	455	53	38	127
A23-4	Heuchera_glomerulata	Parvifoliae	32.632	-109.8145	96	641	0.559635639	2438	63	38	27
A26-3	Heuchera_sanguinea	Sanguineae	32.6359861	-109.82353	102	607	0.515409172	2143	62	40	29
A28-1	Heuchera_americana_americana	Heuchera	34.58071	-88.192537	155	1441	1.103263378	152	51	27	19
A3-1	Heuchera_americana_americana	Heuchera	32.9541667	-86.447222	168	1414	1.052517295	155	49	29	20
A30-10	Heuchera_villosa_macrorhiza	Villosae	34.930459	-88.189257	152	1434	1.112170339	181	52	43	17
A31	Heuchera_americana_hirsuticaulis	Heuchera	34.407867	-89.837582	161	1394	1.076776147	72	53	17	19
A34-4	Heuchera_americana_americana	Heuchera	36.173646	-87.32851	139	1334	1.060491085	225	54	19	13
A35-2	Heuchera_americana_americana	Heuchera	36.311857	-87.307932	142	1294	1.018792987	147	54	18	17
A36	Heuchera_americana_americana	Heuchera	37.204169	-86.736069	134	1266	1.045804262	156	50	21	27
A37-7	Heuchera_missouriensis	Villosae	36.888571	-86.832991	136	1292	1.081471443	200	55	17	19
A38-1	Heuchera_americana_hirsuticaulis	Heuchera	36.888571	-86.832991	136	1292	1.081471443	200	55	17	19
A39-2	Heuchera_americana_hirsuticaulis	Heuchera	36.847205	-88.072118	140	1293	1.087311149	152	52	21	18
A4-5	Heuchera_americana_americana	Heuchera	34.7288889	-84.082778	128	1629	1.322650313	638	49	16	47
A40-2	Heuchera_americana_hirsuticaulis	Heuchera	37.573554	-89.439868	131	1180	1.007258058	121	57	22	28
